Description,Severity,Status,First Seen,Issue age,File,Technology,Lines of code,Fan-in
Fan-in of 116 for module with 63 lines of code,HIGH,RAW,2026-06-04,25,src/hooks/useLogAction.ts,TypeScript,63,116
Fan-in of 142 for module with 5 lines of code,HIGH,RAW,2026-06-04,25,src/hooks/useContent.ts,TypeScript,5,142
Fan-in of 27 for module with 70 lines of code,MEDIUM,RAW,2026-06-04,25,src/utils/useUpdateData.ts,TypeScript,70,27
Fan-in of 37 for module with 35 lines of code,MEDIUM,RAW,2026-06-10,19,backend/src/helpers/routeResponses.ts,TypeScript,35,37
Fan-in of 25 for module with 25 lines of code,MEDIUM,RAW,2026-06-04,25,src/helpers/ArcGISHelpers/getTransformedCoordinates.ts,TypeScript,25,25
Fan-in of 24 for module with 11 lines of code,MEDIUM,RAW,2026-06-04,25,src/hooks/features/useResetFeatures.ts,TypeScript,11,24
Fan-in of 24 for module with 9 lines of code,MEDIUM,RAW,2026-06-04,25,src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/EditGeometryPointPanel/coords.ts,TypeScript,9,24
Fan-in of 21 for module with 8 lines of code,MEDIUM,RAW,2026-06-04,25,src/api/fetchApi.ts,TypeScript,8,21
Fan-in of 27 for module with 7 lines of code,MEDIUM,RAW,2026-06-04,25,src/helpers/ArcGISHelpers/validateMapView.ts,TypeScript,7,27
Fan-in of 23 for module with 3 lines of code,MEDIUM,RAW,2026-06-04,25,src/helpers/classNames.ts,TypeScript,3,23
Fan-in of 11 for module with 195 lines of code,LOW,RAW,2026-06-10,19,backend/src/helpers/queries/buildFinishedPlanQuery.ts,TypeScript,195,11
Fan-in of 12 for module with 130 lines of code,LOW,RAW,2026-06-06,23,src/helpers/ArcGISHelpers/createPlanBoundingBoxGraphic.ts,TypeScript,130,12
Fan-in of 14 for module with 123 lines of code,LOW,RAW,2026-06-29,0,backend/src/routes/keycloak/management/users/keycloakAdminClient.ts,TypeScript,123,14
Fan-in of 13 for module with 122 lines of code,LOW,RAW,2026-06-10,19,src/helpers/ArcGISHelpers/createPointMapGraphics.ts,TypeScript,122,13
Fan-in of 14 for module with 113 lines of code,LOW,RAW,2026-06-04,25,src/helpers/ArcGISHelpers/createPointGraphic.ts,TypeScript,113,14
Fan-in of 13 for module with 85 lines of code,LOW,RAW,2026-06-04,25,src/utils/useCreateData.ts,TypeScript,85,13
Fan-in of 14 for module with 68 lines of code,LOW,RAW,2026-06-29,0,src/hooks/zustand/shared/flightPlanFormFields.ts,TypeScript,68,14
Fan-in of 18 for module with 57 lines of code,LOW,RAW,2026-06-10,19,backend/src/helpers/resolveRegioFilter.ts,TypeScript,57,18
Fan-in of 14 for module with 31 lines of code,LOW,RAW,2026-06-10,19,src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/helpers/drawingToolMapCleanup.ts,TypeScript,31,14
Fan-in of 14 for module with 20 lines of code,LOW,RAW,2026-06-10,19,backend/src/helpers/validateBody.ts,TypeScript,20,14
Fan-in of 11 for module with 19 lines of code,LOW,RAW,2026-06-04,25,src/helpers/ArcGISHelpers/createPoint.ts,TypeScript,19,11
Fan-in of 12 for module with 15 lines of code,LOW,RAW,2026-06-04,25,src/hooks/consts/useGetActiviteis.ts,TypeScript,15,12
Fan-in of 11 for module with 15 lines of code,LOW,RAW,2026-06-04,25,src/hooks/consts/useGetOrganisaties.ts,TypeScript,15,11
Fan-in of 11 for module with 12 lines of code,LOW,RAW,2026-06-04,25,src/hooks/handleCancel/useHandleCancel.ts,TypeScript,12,11
