WorkPackageID,Phase,Name,Scope,Approach,RisksIfDoneWrong,DependsOn,Verification,SigridRemarkStrategy,Status,OpenMaintainabilityRAW
MAINT-01,5 - Maintainability,Backend routes and services,"backend/ routes, services, query helpers (createFinishedPlan cplx 72, devices-updates/db, arcgis.ts)",One route or service cluster per PR; extract validators and query builders.,API contract regressions,DUP phase stable,Backend build + route tests,,OPEN,245
MAINT-02,5 - Maintainability,Nabewerking flows,"EditPointCoordinates, generatePdfReport, Waarnemingen steps",Split large components; extract PDF/coords helpers; one screen per PR.,PDF layout and coordinate edit regressions,DUP-08 partial,Nabewerking smoke test,,OPEN,107
MAINT-03,5 - Maintainability,Voorbereiding wizards,"SelectFromSource, ImportVluchtPlan, AddToPlan, DrawingTool (overlaps DUP-01/02/07)",Finish duplication first; then split remaining oversized units.,Wizard UI regressions,DUP-01,Voorbereiding wizard smoke,,OPEN,175
MAINT-04,5 - Maintainability,Map shell UI,"nnederlandLayers (385 LOC), MapComp (cplx 37), Head/constants.ts",Extract layer config tables and map init steps; dedicated map QA pass.,Map rendering and legend regressions,MAINT-05,Map manual QA,,OPEN,4
MAINT-05,5 - Maintainability,ArcGIS helpers,"src/helpers/ArcGISHelpers/, src/helpers/arcgis/",Split graphic builders and geometry utilities; keep pure functions testable.,Visual map graphic regressions,MAINT-04,Map smoke + unit tests on pure helpers,,OPEN,47
MAINT-06,5 - Maintainability,Admin standalone pages,"DevicesUpdatesPage, InstallationsPage",Extract subcomponents and data hooks per page.,Low,Independent,Page-level smoke,,OPEN,16
MAINT-07,5 - Maintainability,Timeslider feature,"TimesliderItemDetailPage, useTimesliderImagePageData, timeslider helpers",Reduce component complexity; extract data hooks.,Timeslider navigation regressions,Independent,Timeslider page smoke,,OPEN,29
MAINT-08,5 - Maintainability,Frontend catch-all,"Tools, Bottom lists, Common UI, hooks (non god), api-hooks, utils — slice per sub-area","One sub-area per PR: Tools, Bottom, hooks, Common (see MAINT-ARCH-PLAN.md).",Wide but localized if sliced,DUP-08 for Bottom lists,Targeted smoke per slice,,OPEN,289
ARCH-01,6 - Architecture,High fan-in hooks,"useContent.ts (fan-in 142), useLogAction.ts (fan-in 116)",Only with dedicated initiative; split logging vs content if needed.,Very wide blast radius,MAINT-03 stable,Full regression pass,,OPEN,3
ARCH-02,6 - Architecture,Module coupling,"fetchApi, classNames, routeResponses, shared utils with high fan-in",Accept some fan-in on true infrastructure; avoid fake splits.,Import churn,Independent,Build only,,OPEN,24
ARCH-03,6 - Architecture,Component independence,"Hook and api-hook interface modules (hover-click-handlers, features, api-hooks)",Introduce feature-scoped hooks; thin wrappers over time.,Temporary architecture score dip when adding modules,Related MAINT slice,Incremental,,OPEN,113
ARCH-04,6 - Architecture,Component entanglement,HomePage ↔ hooks density; Timeslider transitive deps,Long-term boundary work; not a single PR.,Structural refactor,ARCH-03,Re-scan after major boundaries,,OPEN,9
