WorkPackageID,Category,Status,Severity,Type,Weakness,File,Line,Origin,FirstSeen,IssueAge
WP-02,Security,FIXED,CRITICAL,NPM dependency jspdf contains 12 vulnerabilities,CWE-79,package-lock.json,1,SIG Open Source Health,2026-06-04,25
WP-05,Security,FIXED,CRITICAL,Untrusted input concatinated with raw SQL query can result in SQL Injection,CWE-89,backend/scripts/verify-regio-apis.js,269,NodeJS Scan,2026-06-10,19
WP-05,Security,FIXED,CRITICAL,Untrusted input concatinated with raw SQL query can result in SQL Injection,CWE-89,backend/scripts/verify-regio-apis.js,272,NodeJS Scan,2026-06-10,19
WP-02,Security,FIXED,CRITICAL,The package-lock.json file contains at least 1 library whose integrity is not checked,CWE-494,package-lock.json,6,SIG Code Patterns,2026-06-04,25
WP-02,Security,FIXED,HIGH,NPM dependency xlsx contains 2 vulnerabilities,CWE-1321,package-lock.json,1,SIG Open Source Health,2026-06-05,24
WP-01,Security,FIXED,HIGH,NPM dependency multer contains 2 vulnerabilities,CWE-400,backend/package-lock.json,1,SIG Open Source Health,2026-06-29,0
WP-06,Security,FIXED,HIGH,If unverified user data can reach the `puppeteer` methods it can result in Server-Side Request Forgery vulnerabilities,CWE-918,backend/src/routes/emails/sendEmail.ts,149,Semgrep,2026-06-04,25
WP-02,Security,FIXED,HIGH,NPM dependency axios contains 22 vulnerabilities,CWE-441,package-lock.json,1,SIG Open Source Health,2026-06-04,25
WP-02,Security,FIXED,HIGH,NPM dependency xlsx contains 2 vulnerabilities,CWE-1321,package-lock.json,1,SIG Open Source Health,2026-06-04,25
WP-01,Security,FIXED,HIGH,NPM dependency nodemailer contains 1 vulnerability,CWE-73,backend/package-lock.json,1,SIG Open Source Health,2026-06-29,0
WP-01,Security,FIXED,HIGH,NPM dependency undici contains 7 vulnerabilities,CWE-400,backend/package-lock.json,1,SIG Open Source Health,2026-06-29,0
WP-06,Security,FIXED,HIGH,If unverified user data can reach the `puppeteer` methods it can result in Server-Side Request Forgery vulnerabilities,CWE-918,backend/src/routes/emails/sendEmail.ts,205,Semgrep,2026-06-05,24
WP-06,Security,FIXED,MEDIUM,User data flows into the host portion of this manually-constructed HTML,CWE-79,backend/src/routes/emails/sendEmail.ts,99,Semgrep,2026-06-04,25
WP-09,Security,FIXED,MEDIUM,User data flows into the host portion of this manually-constructed HTML,CWE-79,backend/src/routes/fileDownload.ts,146,Semgrep,2026-06-04,25
WP-06,Security,FIXED,MEDIUM,User data flows into the host portion of this manually-constructed HTML,CWE-79,backend/src/routes/emails/sendEmail.ts,164,Semgrep,2026-06-05,24
,Security,FIXED,MEDIUM,"The application was found executing string comparisons using one of `===`, `!==`, `==` or `!=` against security sensitiv",CWE-208,backend/src/routes/auth/loginUser.ts,29,ESLint,2026-06-04,25
,Security,FIXED,MEDIUM,"String comparisons using '===', '!==', '!=' and '==' is vulnerable to timing attacks",CWE-208,src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step3/hooks/useCopyLink.ts,23,NodeJS Scan,2026-06-04,25
WP-06,Security,FIXED,MEDIUM,This template literal looks like HTML and has interpolated variables,CWE-116,backend/src/routes/emails/sendEmail.ts,122,Semgrep,2026-06-04,25
,Security,FIXED,MEDIUM,Error messages with stack traces may expose sensitive information about the application,CWE-209,src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step1/Buttons.tsx,16,NodeJS Scan,2026-06-04,25
WP-07,Security,FIXED,MEDIUM,Untrusted user input in redirect() can result in Open Redirect vulnerability,CWE-601,backend/src/routes/auth/authKeycloak/callbackHandler.ts,35,NodeJS Scan,2026-06-05,24
WP-06,Security,FIXED,MEDIUM,User data flows into the host portion of this manually-constructed HTML,CWE-79,backend/src/routes/emails/sendEmail.ts,107,Semgrep,2026-06-04,25
WP-09,Security,FIXED,MEDIUM,Untrusted User Input in Response will result in Reflected Cross Site Scripting Vulnerability,CWE-79,backend/src/routes/fileDownload.ts,119,NodeJS Scan,2026-06-04,25
WP-06,Security,FIXED,MEDIUM,This template literal looks like HTML and has interpolated variables,CWE-116,backend/src/routes/emails/sendEmail.ts,114,Semgrep,2026-06-04,25
WP-08,Security,FIXED,MEDIUM,This template literal looks like HTML and has interpolated variables,CWE-116,backend/src/helpers/renderDownloadPage.ts,26,Semgrep,2026-06-05,24
WP-06,Security,FIXED,MEDIUM,This template literal looks like HTML and has interpolated variables,CWE-116,backend/src/routes/emails/sendEmail.ts,47,Semgrep,2026-06-05,24
WP-06,Security,FIXED,MEDIUM,User data flows into the host portion of this manually-constructed HTML,CWE-79,backend/src/routes/emails/sendEmail.ts,100,Semgrep,2026-06-04,25
,Security,FIXED,MEDIUM,"The application was found executing string comparisons using one of `===`, `!==`, `==` or `!=` against security sensitiv",CWE-208,src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step3/hooks/useCopyLink.ts,23,ESLint,2026-06-04,25
WP-09,Security,FIXED,MEDIUM,Untrusted User Input in Response will result in Reflected Cross Site Scripting Vulnerability,CWE-79,backend/src/routes/fileDownload.ts,119,NodeJS Scan,2026-06-04,25
WP-07,Security,FIXED,MEDIUM,Untrusted user input in redirect() can result in Open Redirect vulnerability,CWE-601,backend/src/routes/auth/authKeycloak/callbackHandler.ts,34,NodeJS Scan,2026-06-04,25
WP-06,Security,FIXED,MEDIUM,User data flows into the host portion of this manually-constructed HTML,CWE-79,backend/src/routes/emails/sendEmail.ts,165,Semgrep,2026-06-05,24
WP-09,Security,FIXED,MEDIUM,User data flows into the host portion of this manually-constructed HTML,CWE-79,backend/src/routes/fileDownload.ts,105,Semgrep,2026-06-04,25
WP-06,Security,FIXED,MEDIUM,User data flows into the host portion of this manually-constructed HTML,CWE-79,backend/src/routes/emails/sendEmail.ts,103,Semgrep,2026-06-04,25
WP-06,Security,FIXED,MEDIUM,User data flows into the host portion of this manually-constructed HTML,CWE-79,backend/src/routes/emails/sendEmail.ts,101,Semgrep,2026-06-04,25
WP-01,Security,FIXED,MEDIUM,NPM dependency uuid contains 1 vulnerability,CWE-1285,backend/package-lock.json,1,SIG Open Source Health,2026-06-04,25
WP-06,Security,FIXED,MEDIUM,User data flows into the host portion of this manually-constructed HTML,CWE-79,backend/src/routes/emails/sendEmail.ts,167,Semgrep,2026-06-05,24
WP-01,Security,FIXED,MEDIUM,NPM dependency nodemailer contains 2 vulnerabilities,CWE-93,backend/package-lock.json,1,SIG Open Source Health,2026-06-04,25
WP-06,Security,FIXED,MEDIUM,User data flows into the host portion of this manually-constructed HTML,CWE-79,backend/src/routes/emails/sendEmail.ts,163,Semgrep,2026-06-05,24
WP-06,Security,FIXED,MEDIUM,User data flows into the host portion of this manually-constructed HTML,CWE-79,backend/src/routes/emails/sendEmail.ts,169,Semgrep,2026-06-05,24
WP-09,Security,FIXED,MEDIUM,User data flows into the host portion of this manually-constructed HTML,CWE-79,backend/src/routes/fileDownload.ts,162,Semgrep,2026-06-04,25
WP-09,Security,FIXED,MEDIUM,Untrusted User Input in Response will result in Reflected Cross Site Scripting Vulnerability,CWE-79,backend/src/routes/fileDownload.ts,78,NodeJS Scan,2026-06-04,25
,Security,FIXED,MEDIUM,"String comparisons using '===', '!==', '!=' and '==' is vulnerable to timing attacks",CWE-208,backend/src/routes/auth/loginUser.ts,29,NodeJS Scan,2026-06-04,25
WP-02,Reliability,FIXED,CRITICAL,NPM dependency jspdf contains 12 vulnerabilities,CWE-79,package-lock.json,1,SIG Open Source Health,2026-06-04,25
WP-01,Reliability,FIXED,HIGH,NPM dependency multer contains 2 vulnerabilities,CWE-400,backend/package-lock.json,1,SIG Open Source Health,2026-06-29,0
WP-02,Reliability,FIXED,HIGH,NPM dependency axios contains 22 vulnerabilities,CWE-441,package-lock.json,1,SIG Open Source Health,2026-06-04,25
WP-01,Reliability,FIXED,HIGH,NPM dependency undici contains 7 vulnerabilities,CWE-400,backend/package-lock.json,1,SIG Open Source Health,2026-06-29,0
,Reliability,FIXED,MEDIUM,Error messages with stack traces may expose sensitive information about the application,CWE-209,src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step1/Buttons.tsx,16,NodeJS Scan,2026-06-04,25
WP-01,Reliability,FIXED,MEDIUM,NPM dependency uuid contains 1 vulnerability,CWE-1285,backend/package-lock.json,1,SIG Open Source Health,2026-06-04,25
